# spec/derived/anchors.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every section the published rendering numbers, in document order, addressed by that rendering's own number rather than by the anchor slug beside it.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 71d060ca426af22f7aa6b34424a01c5035090d63895e5543db9be62e97880231

address	anchor	title_en	title_ja
# Three numbered sections are absent, deliberately. The address grammar
# docs/design/address-corpus.tsv fixes runs to seven appendices, A through G, while
3.8.4	procedures_for_intercharacter_space_expansion	Procedures for Inter-Character Space Expansion	空ける処理の優先順位
3.9	about_character_classes	About Character Classes	文字クラスについて
3.9.1	differences_in_positioning_of_characters_and_symbols	Differences in Positioning of Characters and Symbols	文字・記号により振る舞い方は異なる
3.9.2	grouping_of_characters_and_symbols_depending_on_their_positioning	Grouping of Characters and Symbols depending on their Positioning	文字・記号を振る舞い方により分ける
3.9.3	positioning_methods_for_each_character_class	Positioning Methods for each Character Class	各文字クラスの配置方法
4	hanmen-design	Positioning of Headings, Notes, Illustrations, Tables and Paragraphs	見出し・注・図版・表・段落の配置処理
4.1	handling_of_headings	Handling of Headings (including Page Breaks)	見出し処理（改ページ処理も含む）
4.1.1	types_of_headings	Types of Headings	見出しの種類
4.1.2	elements_of_block_heading	Elements of Block Heading	別行見出しの構成
4.1.3	font_selection_and_font_size_of_heading	Font Selection and Heading Font Size	見出しにアクセントを付ける
4.1.4	how_to_handle_headings_with_new_recto_page_break_and_bew_column	How to Handle Headings with New Recto, Page Break and New Column	改丁・改ページ・改段処理
4.1.5	handling_of_spaces_just_before_the_new_recto_page_breaks_and_new_edges	Handling of Space just before the New Recto, Page Breaks and New Edges	改ページ等の直前ページの処理
4.1.6	processing_of_gyoudori	Processing of Gyou-dori	行取りの処理例
4.1.7	processing_of_gyoudori_heading_set_in_the_bottom_of_the_page	Processing of Gyou-dori Heading Set at the bottom of the Page	行取り処理した見出しがページ末にきた場合の処理
4.1.8	processing_when_one_line_space_before_low_level_heading_is_set	Processing when a One Line Space is Set Before a Low Level Heading	小見出しの前を1行アキにした場合の処理
4.1.9	processing_of_runin_heading	Processing of Run-in Headings	同行見出しの処理
4.1.10	processing_of_cutin_heading	Processing of Cut-in Headings	窓見出しの処理
4.1.11	processing_of_column_spanning_heading	Processing of Column Spanning Headings	段抜きの見出しの処理
4.2	processing_of_notes	Processing of Notes	注の処理
4.2.1	kinds_of_notes	Kinds of Notes	注の種類
4.2.2	note_numbers	Note Numbers	注の番号
4.2.3	the_processing_of_the_reference_mark	The Processing of the Reference Mark	合印の処理
4.2.4	processing_of_endnotes_in_vertical_writing_mode_or_horizontal_writing_mode	Processing of Endnotes in Vertical Writing Mode or Horizontal Writing Mode	縦組又は横組の後注処理
4.2.5	processing_of_footnotes_in_horizontal_writing_mode	Processing of Footnotes in Horizontal Writing Mode	横組の脚注処理
4.2.6	processing_of_sidenote_in_vertical_writing_mode	Processing of Sidenotes in Vertical Writing Mode	縦組の傍注処理
4.2.7	processing_of_headnote_footnote_and_sidenote	Processing of Headnotes (in Vertical Writing Mode), Footnotes (in Vertical Writing Mode) and Sidenotes (in Horizontal Writing Mode)	頭注（縦組）・脚注（縦組）・傍注（横組）の処理
4.3	positioning_of_illustrations	Positioning of Illustrations	図版の配置処理
4.3.1	specification_of_the_position_of_illustrations	Specification of the Position of Illustrations	図版配置の指定方法
4.3.2	basic_concepts_about_illustration_positioning	Basic Concepts about Illustration Positioning	図版配置の基本的な考え方
4.3.3	requirements_for_illustration_positioning_in_vertical_mayout	Requirements for Illustration Positioning in Vertical Layout	縦組における図版配置の条件
4.3.4	requirements_for_illustration_positioning_in_horizontal_layout	Requirements for Illustration Positioning in Horizontal Layout	横組における図版配置の条件
4.3.5	basic_ideas_about_illustration_positioning_in_JISX4051	Basic Ideas about Illustration Positioning in JIS X 4051	JIS X 4051における図版配置の基本的な考え方
4.4	processing_of_tables	Processing of Tables	表の処理
4.4.1	elements_of_tables	Elements of Tables	表の構成
4.4.2	direction_of_tables_themselves	Direction of Tables Themselves	表の全体の組方向
4.4.3	an_example_of_layout_with_a_table	An Example of Layout with a Table	表を配置した例
4.4.4	kinds_of_tables_from_alocation_to_page_position	Kinds of Tables from Allocation to Page Position	ページへの配置からみた表の種類
4.4.5	processing_of_tables_allocated_in_a_spread	Processing of Tables Allocated in a Spread	見開きに配置する表の処理
4.4.6	processing_of_dividable_tables	Processing of Dividable Tables	分割を可とする表の処理
4.5	block_direction_setting_process_of_lines_paragraphs	Block Direction Setting Process of Lines, Paragraphs etc.	行・段落などの行送り方向の配置処理
4.5.1	line_gap_arrangement_with_ruby_and_other_objects	Line Gap Arrangement with Ruby and Other Objects	ルビなどが付いた場合の行間の処理
4.5.2	processing_of_spaces_between_paragraphs	Processing of Space between Paragraphs	段落間処理
4.5.3	adjustment_of_processing_of_realm_in_block_direction	Adjustment of Processing of Realm in Block Direction	行送り方向の領域の調整処理
A	character_classes	Character Classes	文字クラス一覧
A.1	cl-01	Opening brackets (cl-01)	始め括弧類（cl-01）
A.2	cl-02	Closing brackets (cl-02)	終わり括弧類（cl-02）
A.3	cl-03	Hyphens (cl-03)	ハイフン類（cl-03）
A.4	cl-04	Dividing punctuation marks (cl-04)	区切り約物（cl-04）
