# spec/derived/appendix-a.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every row of every Appendix A table, in document order: the class that lists the key, the key, and the Remarks cell in both locales.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: ad771cad8de6bae9311db70920802ac43ce400a771a380b386503eb1fa346fcd

class	key	remark-en	remark-ja
cl-19	004A		
cl-19	004B		
cl-19	004C		
cl-19	004D		
cl-19	004E		
cl-19	004F		
cl-19	0050		
cl-19	0051		
cl-19	0052		
cl-19	0053		
cl-19	0054		
cl-19	0055		
cl-19	0056		
cl-19	0057		
cl-19	0058		
cl-19	0059		
cl-19	005A		
cl-19	005C		
cl-19	0061		
cl-19	0062		
cl-19	0063		
cl-19	0064		
cl-19	0065		
cl-19	0066		
cl-19	0067		
cl-19	0068		
cl-19	0069		
cl-19	006A		
cl-19	006B		
cl-19	006C		
cl-19	006D		
cl-19	006E		
cl-19	006F		
cl-19	0070		
cl-19	0071		
cl-19	0072		
cl-19	0073		
cl-19	0074		
cl-19	0075		
cl-19	0076		
cl-19	0077		
cl-19	0078		
cl-19	0079		
cl-19	007A		
cl-19	007C		
cl-19	00A7		
cl-19	00A9		
cl-19	00AE		
cl-19	00B6		
cl-19	00BC		
cl-19	00BD		
cl-19	00BE		
cl-19	0391		
cl-19	0392		
cl-19	0393		
cl-19	0394		
cl-19	0395		
cl-19	0396		
cl-19	0397		
cl-19	0398		
cl-19	0399		
cl-19	039A		
cl-19	039B		
cl-19	039C		
cl-19	039D		
cl-19	039E		
cl-19	039F		
cl-19	03A0		
cl-19	03A1		
cl-19	03A3		
cl-19	03A4		
cl-19	03A5		
cl-19	03A6		
cl-19	03A7		
cl-19	03A8		
cl-19	03A9		
cl-19	03B1		
cl-19	03B2		
cl-19	03B3		
cl-19	03B4		
cl-19	03B5		
cl-19	03B6		
cl-19	03B7		
cl-19	03B8		
cl-19	03B9		
cl-19	03BA		
cl-19	03BB		
cl-19	03BC		
cl-19	03BD		
cl-19	03BE		
cl-19	03BF		
cl-19	03C0		
cl-19	03C1		
cl-19	03C2		
cl-19	03C3		
cl-19	03C4		
cl-19	03C5		
cl-19	03C6		
cl-19	03C7		
cl-19	03C8		
cl-19	03C9		
cl-19	0401		
cl-19	0410		
cl-19	0411		
cl-19	0412		
cl-19	0413		
cl-19	0414		
cl-19	0415		
cl-19	0416		
cl-19	0417		
cl-19	0418		
cl-19	0419		
cl-19	041A		
cl-19	041B		
cl-19	041C		
cl-19	041D		
cl-19	041E		
cl-19	041F		
cl-19	0420		
cl-19	0421		
cl-19	0422		
cl-19	0423		
cl-19	0424		
cl-19	0425		
cl-19	0426		
cl-19	0427		
cl-19	0428		
cl-19	0429		
cl-19	042A		
cl-19	042B		
cl-19	042C		
cl-19	042D		
cl-19	042E		
cl-19	042F		
cl-19	0430		
cl-19	0431		
cl-19	0432		
cl-19	0433		
cl-19	0434		
cl-19	0435		
cl-19	0436		
cl-19	0437		
cl-19	0438		
cl-19	0439		
cl-19	043A		
cl-19	043B		
cl-19	043C		
cl-19	043D		
cl-19	043E		
cl-19	043F		
cl-19	0440		
cl-19	0441		
cl-19	0442		
cl-19	0443		
cl-19	0444		
cl-19	0445		
cl-19	0446		
cl-19	0447		
cl-19	0448		
cl-19	0449		
cl-19	044A		
cl-19	044B		
cl-19	044C		
cl-19	044D		
cl-19	044E		
cl-19	044F		
cl-19	0451		
cl-19	2016		
cl-19	2020		
cl-19	2021		
cl-19	2022		
cl-19	203B		
cl-19	2042		
cl-19	2051		
cl-19	2121		
cl-19	2153		
cl-19	2154		
cl-19	2155		
cl-19	2160		
cl-19	2161		
cl-19	2162		
cl-19	2163		
cl-19	2164		
cl-19	2165		
cl-19	2166		
cl-19	2167		
cl-19	2168		
cl-19	2169		
cl-19	216A		
cl-19	216B		
cl-19	216B		
cl-19	2170		
cl-19	2171		
cl-19	2172		
cl-19	2173		
cl-19	2174		
cl-19	2175		
cl-19	2176		
cl-19	2177		
cl-19	2178		
cl-19	2179		
cl-19	217A		
cl-19	217B		
cl-19	2190		
cl-19	2191		
cl-19	2192		
cl-19	2193		
cl-19	2194		
cl-19	2196		
cl-19	2197		
cl-19	2198		
cl-19	2199		
cl-19	21C4		
cl-19	21E6		
cl-19	21E7		
cl-19	21E8		
cl-19	21E9		
cl-19	221A		
cl-19	221E		
cl-19	221F		
cl-19	222B		
cl-19	222C		
cl-19	2234		
cl-19	2235		
cl-19	2296		
cl-19	22BF		
cl-19	2318		
cl-19	23CE		
cl-19	2423		
cl-19	2460		
cl-19	2461		
cl-19	2462		
cl-19	2463		
cl-19	2464		
cl-19	2465		
cl-19	2466		
cl-19	2467		
cl-19	2468		
cl-19	2469		
cl-19	246A		
cl-19	246B		
cl-19	246C		
cl-19	246D		
cl-19	246E		
cl-19	246F		
cl-19	2470		
cl-19	2471		
cl-19	2472		
cl-19	2473		
cl-19	24D0		
cl-19	24D1		
cl-19	24D2		
cl-19	24D3		
cl-19	24D4		
cl-19	24D5		
cl-19	24D6		
cl-19	24D7		
cl-19	24D8		
cl-19	24D9		
cl-19	24DA		
cl-19	24DB		
cl-19	24DC		
cl-19	24DD		
cl-19	24DE		
cl-19	24DF		
cl-19	24E0		
cl-19	24E1		
cl-19	24E2		
cl-19	24E3		
cl-19	24E4		
cl-19	24E5		
cl-19	24E6		
cl-19	24E7		
